Distance_(unit),Gray_Value
415.632,202.8631
416.074,201.4027
416.515,203.3440
416.957,203.4388
417.399,202.0400
417.840,200.8347
418.282,200.7760
418.724,204.2560
419.166,201.1084
419.607,199.4370
420.049,200.3982
420.491,203.2554
420.932,203.9393
421.374,202.3333
421.816,203.4593
422.257,205.7967
422.699,203.2391
423.141,204.8018
423.582,203.0000
424.024,199.4533
424.466,197.4142
424.908,199.0000
425.349,201.6640
425.791,203.7031
426.233,200.5378
426.674,203.5573
427.116,203.6667
427.558,205.6667
427.999,200.7173
428.441,201.6978
428.883,201.0116
429.324,205.0000
429.766,197.7310
430.208,200.1413
430.650,199.2000
431.091,201.2299
431.533,200.0705
431.975,202.8338
432.416,202.8599
432.858,206.0504
433.300,204.0000
433.741,206.0000
434.183,205.0000
434.625,208.0000
435.066,204.4207
435.508,205.4273
435.950,204.1324
436.392,206.2264
436.833,204.6738
437.275,207.9333
437.717,204.8856
438.158,205.7982
438.600,204.5040
439.042,208.5431
439.483,206.1245
439.925,206.6667
440.367,208.8261
440.808,205.0110
441.250,204.6427
441.692,207.6296
442.133,207.8584
442.575,205.8649
443.017,206.4095
443.459,210.3004
443.900,208.9333
444.342,210.6853
444.784,206.7440
445.225,207.8027
445.667,206.8613
446.109,208.9200
446.550,205.2355
446.992,208.0910
447.434,204.3170
447.875,208.1707
448.317,208.3022
448.759,206.2193
449.201,204.1867
449.642,204.1541
450.084,205.1215
450.526,207.0889
450.967,203.0901
451.409,203.6999
451.851,203.6738
452.292,201.7413
452.734,202.1778
453.176,203.9227
453.617,204.3333
454.059,205.2302
454.501,205.9244
454.943,207.2400
455.384,204.5049
455.826,202.0000
456.268,204.4658
456.709,205.7796
457.151,207.5067
457.593,208.2596
458.034,203.8836
458.476,203.8053
458.918,204.3636
459.359,206.0000
459.801,206.3093
460.243,204.9129
460.685,204.0809
461.126,205.5867
461.568,200.9733
462.010,205.6667
462.451,207.7173
462.893,206.6782
463.335,205.6667
463.776,205.7333
464.218,206.2196
464.660,206.6643
465.101,204.1973
465.543,203.9807
465.985,204.3170
466.427,205.8151
466.868,206.6631
467.310,207.0000
467.752,204.8178
468.193,204.0563
468.635,205.0859
469.077,204.5947
469.518,205.9292
469.960,207.6498
470.402,204.5956
470.843,199.4613
471.285,201.2684
471.727,209.7707
472.169,202.9520
472.610,206.9437
473.052,205.8347
473.494,207.7881
473.935,206.6836
474.377,207.6693
474.819,205.6889
475.260,208.7085
475.702,204.7893
476.144,205.7476
476.585,206.3668
477.027,207.7867
477.469,210.8604
477.911,208.3484
478.352,206.8213
478.794,208.1982
479.236,207.8282
479.677,207.7120
480.119,204.8287
480.561,208.0000
481.002,205.6533
481.444,209.4904
481.886,209.4450
482.327,210.9573
482.769,207.6667
483.211,209.9292
483.653,208.3556
484.094,206.3882
484.536,207.8732
484.978,209.4160
485.419,207.6385
485.861,206.1778
486.303,205.7893
486.744,208.4338
487.186,207.9962
487.628,208.8631
488.069,202.8548
488.511,203.4572
488.953,202.5307
489.395,205.1153
489.836,202.0204
490.278,206.2178
490.720,205.6628
491.161,203.2373
491.603,202.2756
492.045,202.3799
492.486,200.8696
492.928,200.1573
493.370,199.5828
493.811,202.7719
494.253,199.2160
494.695,198.2355
495.137,195.9478
495.578,196.8436
496.020,192.5233
496.462,189.6536
496.903,187.0000
